product_id,product_name,category,price
1,O direito de mudar com força total,Livros,1866.72
2,A segurança de ganhar mais facilmente,Livros,283.17
3,O conforto de mudar com confiança,Automotivo,1484.37
4,O conforto de avançar com confiança,Alimentos,492.49
5,A arte de avançar direto da fonte,Beleza,459.09
6,A simplicidade de realizar seus sonhos em estado puro,Alimentos,114.46
7,A simplicidade de evoluir antes de tudo,Casa e Jardim,667.28
8,A simplicidade de realizar seus sonhos simplesmente,Brinquedos,210.08
9,A possibilidade de inovar com toda a tranquilidade,Calcados,20.31
10,O prazer de concretizar seus projetos com confiança,Beleza,1956.04
11,O direito de mudar mais facilmente,Calcados,819.75
12,A certeza de mudar de maneira eficaz,Brinquedos,960.12
13,A certeza de inovar com força total,Alimentos,1514.26
14,A vantagem de avançar mais facilmente,Livros,649.12
15,A vantagem de concretizar seus projetos de maneira eficaz,Eletronicos,1816.79
16,A vantagem de evoluir sem preocupação,Roupas,1308.07
17,O conforto de conseguir antes de tudo,Alimentos,1074.95
18,A liberdade de concretizar seus projetos em estado puro,Eletronicos,1827.33
19,O prazer de mudar sem preocupação,Calcados,841.59
20,O conforto de realizar seus sonhos em estado puro,Calcados,1868.51
21,O conforto de evoluir de maneira eficaz,Eletronicos,1994.37
22,O conforto de ganhar naturalmente,Casa e Jardim,1578.04
23,A possibilidade de mudar mais facilmente,Calcados,1873.85
24,A segurança de inovar em estado puro,Livros,1754.72
25,A vantagem de concretizar seus projetos em estado puro,Eletronicos,603.8
26,A arte de mudar com confiança,Automotivo,223.53
27,A liberdade de realizar seus sonhos antes de tudo,Esportes,576.28
28,A simplicidade de realizar seus sonhos naturalmente,Beleza,1053.39
29,A segurança de mudar de maneira eficaz,Calcados,1703.61
30,A certeza de mudar naturalmente,Brinquedos,552.95
31,A vantagem de ganhar mais rapidamente,Roupas,668.06
32,O prazer de ganhar mais facilmente,Brinquedos,1300.09
33,A vantagem de avançar de maneira eficaz,Calcados,38.03
34,A liberdade de evoluir com confiança,Esportes,1583.63
35,A liberdade de conseguir mais rapidamente,Automotivo,1352.06
36,A simplicidade de concretizar seus projetos com toda a tranquilidade,Alimentos,359.23
37,A segurança de mudar de maneira eficaz,Casa e Jardim,1655.71
38,O direito de avançar simplesmente,Beleza,662.57
39,O prazer de avançar mais facilmente,Casa e Jardim,1341.82
40,A segurança de evoluir com confiança,Calcados,1963.55
41,O prazer de mudar mais facilmente,Brinquedos,653.97
42,A liberdade de concretizar seus projetos naturalmente,Alimentos,23.59
43,A liberdade de evoluir de maneira eficaz,Casa e Jardim,478.69
44,A vantagem de avançar mais rapidamente,Livros,1908.53
45,O poder de atingir seus objetivos mais rapidamente,Livros,1169.1
46,O conforto de conseguir mais rapidamente,Automotivo,32.76
47,O direito de evoluir com confiança,Esportes,1388.61
48,A liberdade de realizar seus sonhos sem preocupação,Eletronicos,1338.89
49,A simplicidade de mudar de maneira eficaz,Brinquedos,620.54
50,A vantagem de mudar naturalmente,Casa e Jardim,1375.29
51,A arte de mudar em estado puro,Livros,1383.68
52,A liberdade de evoluir sem preocupação,Livros,741.41
53,A possibilidade de avançar mais facilmente,Alimentos,446.07
54,O conforto de avançar mais rapidamente,Calcados,961.58
55,A segurança de realizar seus sonhos direto da fonte,Brinquedos,1497.99
56,A liberdade de realizar seus sonhos mais facilmente,Automotivo,753.51
57,A segurança de ganhar mais facilmente,Beleza,1826.47
58,A vantagem de inovar naturalmente,Beleza,1605.97
59,A segurança de mudar com confiança,Alimentos,1526.1
60,A arte de atingir seus objetivos mais rapidamente,Automotivo,1747.54
61,A simplicidade de ganhar mais facilmente,Roupas,1055.76
62,A segurança de avançar simplesmente,Beleza,1410.49
63,O prazer de evoluir com toda a tranquilidade,Roupas,1835.32
64,O poder de ganhar em estado puro,Roupas,132.9
65,A possibilidade de ganhar naturalmente,Beleza,1806.75
66,O conforto de mudar de maneira eficaz,Alimentos,1149.68
67,O prazer de evoluir de maneira eficaz,Calcados,337.43
68,O direito de conseguir naturalmente,Beleza,889.26
69,A arte de evoluir sem preocupação,Alimentos,1436.67
70,A possibilidade de concretizar seus projetos com toda a tranquilidade,Brinquedos,190.97
71,O conforto de conseguir sem preocupação,Beleza,896.51
72,O poder de atingir seus objetivos com força total,Eletronicos,912.33
73,O poder de mudar mais facilmente,Beleza,836.69
74,A certeza de realizar seus sonhos direto da fonte,Automotivo,124.9
75,A arte de ganhar com toda a tranquilidade,Brinquedos,1348.81
76,A liberdade de conseguir simplesmente,Livros,1449.33
77,A segurança de mudar de maneira eficaz,Casa e Jardim,516.37
